Photometry,Sector,RV group,Frequency,PSD
TESS_18_0,All,780.71,0.0,0.0
TESS_18_0,All,799.71,0.0,0.0
TESS_18_0,All,829.66,0.0,0.0
TESS_18_0,All,913.54,0.0,0.0
TESS_18_0,All,1131.79,0.0,0.0
TESS_18_0,All,1131.79,5.0000000000045475,1.3852391002117034e-06
TESS_18_0,All,1170.7,0.0,0.0
TESS_18_0,All,1519.79,0.0,0.0
TESS_18_0,All,1597.62,0.0,0.0
TESS_18_0,All,2569.81,0.0,0.0
TESS_18_0,All,2685.7,0.0,0.0
TESS_18_0,All,2694.56,0.0,0.0
TESS_18_0,All,3344.74,0.0,0.0
TESS_18_0,All,3849.51,0.0,0.0
TESS_18_0,All,4007.84,0.0,0.0
TESS_18_0,All,4064.77,0.0,0.0
TESS_18_0,All,4525.58,0.0,2.350988701653128e-39
TESS_18_0,All,4525.58,4.99999999998181,1.1018977690318898e-10
TESS_18_1,All,780.71,0.0,0.0
TESS_18_1,All,799.71,0.0,0.0
TESS_18_1,All,829.66,0.0,0.0
TESS_18_1,All,913.54,0.0,0.0
TESS_18_1,All,1131.79,0.0,0.0
TESS_18_1,All,1131.79,5.0000000000045475,1.3860874378112598e-06
TESS_18_1,All,1170.7,0.0,0.0
TESS_18_1,All,1519.79,0.0,0.0
TESS_18_1,All,1597.62,0.0,0.0
TESS_18_1,All,2569.81,0.0,0.0
TESS_18_1,All,2685.7,0.0,0.0
TESS_18_1,All,2694.56,0.0,0.0
TESS_18_1,All,3344.74,0.0,0.0
TESS_18_1,All,3849.51,0.0,0.0
TESS_18_1,All,4007.84,0.0,0.0
TESS_18_1,All,4064.77,0.0,0.0
TESS_18_1,All,4525.58,0.0,0.0
TESS_18_1,All,4525.58,4.99999999998181,1.4159461843689117e-10
TESS_18_19,All,780.71,0.0,0.0
TESS_18_19,All,799.71,0.0,0.0
TESS_18_19,All,829.66,0.0,0.0
TESS_18_19,All,913.54,0.0,0.0
TESS_18_19,All,1131.79,0.0,0.0
TESS_18_19,All,1131.79,5.0000000000045475,1.3204215102652028e-06
TESS_18_19,All,1170.7,0.0,0.0
TESS_18_19,All,1519.79,0.0,0.0
TESS_18_19,All,1597.62,0.0,0.0
TESS_18_19,All,2569.81,0.0,0.0
TESS_18_19,All,2685.7,0.0,0.0
TESS_18_19,All,2694.56,0.0,0.0
TESS_18_19,All,3344.74,0.0,0.0
TESS_18_19,All,3849.51,0.0,0.0
TESS_18_19,All,4007.84,0.0,0.0
TESS_18_19,All,4064.77,0.0,0.0
TESS_18_19,All,4525.58,0.0,2.350988701653128e-39
TESS_18_19,All,4525.58,4.99999999998181,2.0338411323294757e-10
TESS_18_19,Sector1,780.71,0.0,0.0
TESS_18_19,Sector1,799.71,0.0,0.0
TESS_18_19,Sector1,829.66,0.0,0.0
TESS_18_19,Sector1,913.54,0.0,0.0
TESS_18_19,Sector1,1131.79,0.0,0.0
TESS_18_19,Sector1,1131.79,5.0000000000045475,1.3940548247503627e-06
TESS_18_19,Sector1,1170.7,0.0,0.0
TESS_18_19,Sector1,1519.79,0.0,0.0
TESS_18_19,Sector1,1597.62,0.0,0.0
TESS_18_19,Sector1,2569.81,0.0,0.0
TESS_18_19,Sector1,2685.7,0.0,0.0
TESS_18_19,Sector1,2694.56,0.0,0.0
TESS_18_19,Sector1,3344.74,0.0,0.0
TESS_18_19,Sector1,3849.51,0.0,0.0
TESS_18_19,Sector1,4007.84,0.0,0.0
TESS_18_19,Sector1,4064.77,0.0,0.0
TESS_18_19,Sector1,4525.58,0.0,2.350988701653128e-39
TESS_18_19,Sector1,4525.58,4.99999999998181,1.7638374997287473e-10
TESS_18_19,Sector2,780.71,0.0,0.0
TESS_18_19,Sector2,799.71,0.0,0.0
TESS_18_19,Sector2,829.66,0.0,0.0
TESS_18_19,Sector2,913.54,0.0,0.0
TESS_18_19,Sector2,1131.79,0.0,0.0
TESS_18_19,Sector2,1131.79,5.0000000000045475,1.3536403381904035e-06
TESS_18_19,Sector2,1170.7,0.0,0.0
TESS_18_19,Sector2,1519.79,0.0,0.0
TESS_18_19,Sector2,1597.62,0.0,0.0
TESS_18_19,Sector2,2569.81,0.0,0.0
TESS_18_19,Sector2,2685.7,0.0,0.0
TESS_18_19,Sector2,2694.56,0.0,0.0
TESS_18_19,Sector2,3344.74,0.0,0.0
TESS_18_19,Sector2,3849.51,0.0,0.0
TESS_18_19,Sector2,4007.84,0.0,0.0
TESS_18_19,Sector2,4064.77,0.0,0.0
TESS_18_19,Sector2,4525.58,0.0,0.0
TESS_18_19,Sector2,4525.58,4.99999999998181,1.0532534724425622e-10
TESS_18_19,Sector3,780.71,0.0,0.0
TESS_18_19,Sector3,799.71,0.0,0.0
TESS_18_19,Sector3,829.66,0.0,0.0
TESS_18_19,Sector3,913.54,0.0,0.0
TESS_18_19,Sector3,1131.79,0.0,0.0
TESS_18_19,Sector3,1131.79,5.0000000000045475,1.3486144035772184e-06
TESS_18_19,Sector3,1170.7,0.0,0.0
TESS_18_19,Sector3,1519.79,0.0,0.0
TESS_18_19,Sector3,1597.62,0.0,0.0
TESS_18_19,Sector3,2569.81,0.0,0.0
TESS_18_19,Sector3,2685.7,0.0,0.0
TESS_18_19,Sector3,2694.56,0.0,0.0
TESS_18_19,Sector3,3344.74,0.0,0.0
TESS_18_19,Sector3,3849.51,0.0,0.0
TESS_18_19,Sector3,4007.84,0.0,0.0
TESS_18_19,Sector3,4064.77,0.0,0.0
TESS_18_19,Sector3,4525.58,0.0,0.0
TESS_18_19,Sector3,4525.58,4.99999999998181,2.45844230912585e-10
TESS_18_2,All,780.71,0.0,0.0
TESS_18_2,All,799.71,0.0,0.0
TESS_18_2,All,829.66,0.0,0.0
TESS_18_2,All,913.54,0.0,0.0
TESS_18_2,All,1131.79,0.0,0.0
TESS_18_2,All,1131.79,5.0000000000045475,1.3852365212627722e-06
TESS_18_2,All,1170.7,0.0,0.0
TESS_18_2,All,1519.79,0.0,0.0
TESS_18_2,All,1597.62,0.0,0.0
TESS_18_2,All,2569.81,0.0,0.0
TESS_18_2,All,2685.7,0.0,0.0
TESS_18_2,All,2694.56,0.0,0.0
TESS_18_2,All,3344.74,0.0,0.0
TESS_18_2,All,3849.51,0.0,0.0
TESS_18_2,All,4007.84,0.0,0.0
TESS_18_2,All,4064.77,0.0,0.0
TESS_18_2,All,4525.58,0.0,0.0
TESS_18_2,All,4525.58,4.99999999998181,1.6747676066728036e-10
TESS_19,All,780.71,0.0,0.0
TESS_19,All,799.71,0.0,0.0
TESS_19,All,829.66,0.0,0.0
TESS_19,All,913.54,0.0,0.0
TESS_19,All,1131.79,0.0,0.0
TESS_19,All,1131.79,5.0000000000045475,1.3936702588445916e-06
TESS_19,All,1170.7,0.0,0.0
TESS_19,All,1519.79,0.0,0.0
TESS_19,All,1597.62,0.0,0.0
TESS_19,All,2569.81,0.0,0.0
TESS_19,All,2685.7,0.0,0.0
TESS_19,All,2694.56,0.0,0.0
TESS_19,All,3344.74,0.0,0.0
TESS_19,All,3849.51,0.0,0.0
TESS_19,All,4007.84,0.0,0.0
TESS_19,All,4064.77,0.0,0.0
TESS_19,All,4525.58,0.0,0.0
TESS_19,All,4525.58,4.99999999998181,7.159162170916684e-11
TESS_20_0,All,780.71,0.0,0.0
TESS_20_0,All,799.71,0.0,0.0
TESS_20_0,All,829.66,0.0,0.0
TESS_20_0,All,913.54,0.0,0.0
TESS_20_0,All,1131.79,0.0,0.0
TESS_20_0,All,1131.79,5.0000000000045475,1.3902139673800213e-06
TESS_20_0,All,1170.7,0.0,0.0
TESS_20_0,All,1519.79,0.0,0.0
TESS_20_0,All,1597.62,0.0,0.0
TESS_20_0,All,2569.81,0.0,0.0
TESS_20_0,All,2685.7,0.0,0.0
TESS_20_0,All,2694.56,0.0,0.0
TESS_20_0,All,3344.74,0.0,0.0
TESS_20_0,All,3849.51,0.0,0.0
TESS_20_0,All,4007.84,0.0,0.0
TESS_20_0,All,4064.77,0.0,0.0
TESS_20_0,All,4525.58,0.0,0.0
TESS_20_0,All,4525.58,4.99999999998181,1.375970316907476e-10
TESS_20_0,Sector1,780.71,0.0,0.0
TESS_20_0,Sector1,799.71,0.0,0.0
TESS_20_0,Sector1,829.66,0.0,0.0
TESS_20_0,Sector1,913.54,0.0,0.0
TESS_20_0,Sector1,1131.79,0.0,0.0
TESS_20_0,Sector1,1131.79,5.0000000000045475,1.400720854922857e-06
